tweet_Id,text,name,screen_name,UTC,created_at,favorites,retweet_count,language,client,tweet_type,urls,hashtags,mentions,media_type,media_urls,,,
1.37E+18,"RT @nvca : #VC firms are invited to partner with @BolsterTalent on their Board Benchmark Survey, a first-of-its-kind survey on private companies' board diversity, composition, &amp; compensation. Learn more here: https://t.co/R5hzCpR3jX &amp; sign up to participate here: https://t.co/LPVXI8pNzW",Brad Feld,bfeld,2021-03-10T21:36:45.000Z,Wed Mar 10 21:36:45 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://bit.ly/2ZRiYOM http://content.bolster.com/bb-partner-registration ,1,1,,,,,
1.37E+18,One Year Ago Today https://t.co/Vcbqk1P4Lj,Brad Feld,bfeld,2021-03-10T16:58:42.000Z,Wed Mar 10 16:58:42 +0000 2021,15,1,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Tweet,https://feld.com/archives/2021/03/one-year-ago-today.html ,0,0,,,,,
1.37E+18,"RT @AmericaLatinx : We talk with Brad Feld about learning, growing, the importance of diversity and becoming part of entrepreneurial ecosystems. Check it out: https://t.co/kc0NHfK9XN https://t.co/zZzB8qTIT1",Brad Feld,bfeld,2021-03-10T02:15:48.000Z,Wed Mar 10 02:15:48 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://latinxamerica.libsyn.com/brad-feld-talks-about-entrepreneurial-ecosystems-and-building-networks ,0,0,video,https://video.twimg.com/ext_tw_video/1367558383654567939/pu/vid/240x240/ZQRQqvSCM19kWQZr.mp4?tag=1,,,
1.37E+18,"RT @djbaskin : Here's how better deal flows work:

1. You roll a d20 to determine if you're investing.
2. If it's between 1-14, you use https://t.co/iyB9gVWHAS to reject them.

This makes lives easier for both investors &amp; founders—and removes hard decisions and feelings.
https://t.co/1dkUGptw4J",Brad Feld,bfeld,2021-03-09T22:35:28.000Z,Tue Mar 09 22:35:28 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://Unfortunately.io https://twitter.com/djbaskin/status/1363243729960591364?s=20 ,0,0,,,,,
1.37E+18,12th Annual New Orleans Entrepreneur Week Seeks to Connect the Community to Local Culture Bearers and Artists - My New Orleans https://t.co/5MnkbyR4DC https://t.co/rQLhgTtBzm,Brad Feld,bfeld,2021-03-09T20:54:32.000Z,Tue Mar 09 20:54:32 +0000 2021,9,2,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://buff.ly/3qwJMia ,0,0,photo,https://pbs.twimg.com/media/EwEOA4-WQAEhc2_.jpg,,,
1.37E+18,Molekule Air Mini &amp; Air Mini+ Receive FDA 510(k) Class II Medical Device Clearance https://t.co/JQF5bjOA3l,Brad Feld,bfeld,2021-03-09T19:06:03.000Z,Tue Mar 09 19:06:03 +0000 2021,6,1,ht,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://buff.ly/3t0u0hd ,0,0,,,,,
1.37E+18,Satellites to magic carpets: Japan taps Techstars to mentor startups https://t.co/2xzEz7MODd @techstars @MaelleGavet,Brad Feld,bfeld,2021-03-09T00:15:36.000Z,Tue Mar 09 00:15:36 +0000 2021,21,6,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://buff.ly/3kYg6t3 ,0,2,,,,,
1.37E+18,Helping to Eliminate Racism in America https://t.co/zq3WnLHj7Y,Brad Feld,bfeld,2021-03-08T19:07:50.000Z,Mon Mar 08 19:07:50 +0000 2021,11,5,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Tweet,https://feld.com/archives/2021/03/helping-to-eliminate-racism-in-america.html ,0,0,,,,,
1.37E+18,RT @bryce_reich : I just listened to a great interview with @IanHathaway and @bfeld that @piepdx did! Here is the link if you want to check it out. https://t.co/sDoglhZlX7,Brad Feld,bfeld,2021-03-07T15:34:00.000Z,Sun Mar 07 15:34:00 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.youtube.com/watch?v=JwBs0-PCit4 ,0,3,,,,,
1.37E+18,On Being an Adult https://t.co/sqH0foUsnO by @bigdogtwo https://t.co/1LUzwSH6r7,Brad Feld,bfeld,2021-03-07T15:29:24.000Z,Sun Mar 07 15:29:24 +0000 2021,34,5,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://buff.ly/3qjtI3a ,0,1,photo,https://pbs.twimg.com/media/Ev4wauqXMAYnBo7.jpg,,,
1.37E+18,From Unpaid Girlfriend to HealthTech CEO https://t.co/2dFKNgmojt https://t.co/fKEotPuz55,Brad Feld,bfeld,2021-03-07T15:22:23.000Z,Sun Mar 07 15:22:23 +0000 2021,16,2,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://buff.ly/3bmk9vZ ,0,0,photo,https://pbs.twimg.com/media/Ev4u0CwWYAo_Pdd.jpg,,,
1.37E+18,Texas Rambles | Art Everyday https://t.co/6lcZPiRJcr @ceceliafeld https://t.co/XDE6GnwpWM,Brad Feld,bfeld,2021-03-05T20:05:58.000Z,Fri Mar 05 20:05:58 +0000 2021,7,2,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://buff.ly/2NX4drt ,0,1,photo,https://pbs.twimg.com/media/Evvcir4XYAckdQs.jpg,,,
1.37E+18,Techstars Foundation Accelerate Equity https://t.co/3ATyyiw6WB,Brad Feld,bfeld,2021-03-05T17:19:05.000Z,Fri Mar 05 17:19:05 +0000 2021,14,4,en,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",Tweet,https://feld.com/archives/2021/03/techstars-foundation-accelerate-equity.html ,0,0,,,,,
1.37E+18,"RT @psl : Announcing PSL Ventures Fund II.

We couldn't be more excited for the future of Pacific Northwest startups.

https://t.co/fEFnGPh7C5",Brad Feld,bfeld,2021-03-04T20:16:28.000Z,Thu Mar 04 20:16:28 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://pioneersquarelabs.medium.com/launching-psl-ventures-ii-a-100-million-seed-fund-for-the-pacific-northwest-a38631f217bb ,0,0,,,,,
1.37E+18,Net Dollar Retention vs. Net Revenue Retention https://t.co/OtUNdxzSUF by @sether,Brad Feld,bfeld,2021-03-04T15:07:52.000Z,Thu Mar 04 15:07:52 +0000 2021,9,1,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://buff.ly/3uPcmPj ,0,1,,,,,
